GENE_NAME,ID,DESCRIPTION,SUMMARY
NLRC4,58484,NLR family CARD domain containing 4,"This gene encodes a member of the caspase recruitment domain-containing NLR family. Family members play essential roles in innate immune response to a wide range of pathogenic organisms, tissue damage and other cellular stresses. Mutations in this gene result in autoinflammation with infantile enterocolitis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2014]"
GALNT5,11227,polypeptide N-acetylgalactosaminyltransferase 5,"The protein encoded by this gene is a membrane-bound polypeptide N-acetylgalactosaminyltransferase that is found in the Golgi. The encoded protein catalyzes the first step in the mucin-type O-glycosylation of Golgi proteins, transfering an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. [provided by RefSeq, Aug 2016]"
GPR156,165829,G protein-coupled receptor 156,"G protein-coupled receptors (GPCRs) are a large superfamily of cell surface receptors characterized by 7 helical transmembrane domains, together with N-terminal extracellular and C-terminal intracellular domains.[supplied by OMIM, Mar 2008]"
WNT3,7473,Wnt family member 3,"The WNT gene family consists of structurally related genes which encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, including regulation of cell fate and patterning during embryogenesis. This gene is a member of the WNT gene family. It encodes a protein which shows 98% amino acid identity to mouse Wnt3 protein, and 84% to human WNT3A protein, another WNT gene product. The mouse studies show the requirement of Wnt3 in primary axis formation in the mouse. Studies of the gene expression suggest that this gene may play a key role in some cases of human breast, rectal, lung, and gastric cancer through activation of the WNT-beta-catenin-TCF signaling pathway. This gene is clustered with WNT15, another family member, in the chromosome 17q21 region. [provided by RefSeq, Jul 2008]"
SLC24A4,123041,solute carrier family 24 member 4,"Enables calcium, potassium:sodium antiporter activity. Involved in calcium ion transmembrane transport; potassium ion transmembrane transport; and sodium ion transmembrane transport. Acts upstream of or within cellular calcium ion homeostasis. Part of plasma membrane. Implicated in amelogenesis imperfecta hypomaturation type 2A5. [provided by Alliance of Genome Resources, Apr 2022]"
RBMS3,27303,RNA binding motif single stranded interacting protein 3,"This gene encodes an RNA-binding protein that belongs to the c-myc gene single-strand binding protein family. These proteins are characterized by the presence of two sets of ribonucleoprotein consensus sequence (RNP-CS) that contain conserved motifs, RNP1 and RNP2, originally described in RNA binding proteins, and required for DNA binding. These proteins have been implicated in such diverse functions as DNA replication, gene transcription, cell cycle progression and apoptosis. The encoded protein was isolated by virtue of its binding to an upstream element of the alpha2(I) collagen promoter. The observation that this protein localizes mostly in the cytoplasm suggests that it may be involved in a cytoplasmic function such as controlling RNA metabolism, rather than transcription. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2010]"
SPATA17,128153,spermatogenesis associated 17,"Predicted to enable calmodulin binding activity. Predicted to be located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
TPTE2P6,374491,TPTE2 pseudogene 6,
FHL1,3075,complement factor H,"This gene is a member of the Regulator of Complement Activation (RCA) gene cluster and encodes a protein with twenty short consensus repeat (SCR) domains. This protein is secreted into the bloodstream and has an essential role in the regulation of complement activation, restricting this innate defense mechanism to microbial infections. Mutations in this gene have been associated with hemolytic-uremic syndrome (HUS) and chronic hypocomplementemic nephropathy. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Oct 2011]"
PTGDR,5729,prostaglandin D2 receptor,"This gene encodes a member of the guanine nucleotide-binding protein (G protein)-coupled receptor (GPCR) superfamily. The receptors are seven-pass transmembrane proteins that respond to extracellular cues and activate intracellular signal transduction pathways. This protein is reported to be a receptor for prostaglandin D2, which is a mediator of allergic inflammation and allergic airway inflammation in asthma. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]"
PWAR5,8123,Prader Willi/Angelman region RNA 5,
C2orf66,401027,chromosome 2 open reading frame 66,"Predicted to be located in extracellular region. [provided by Alliance of Genome Resources, Apr 2022]"
CHRM3,1131,cholinergic receptor muscarinic 3,"The muscarinic cholinergic receptors belong to a larger family of G protein-coupled receptors. The functional diversity of these receptors is defined by the binding of acetylcholine and includes cellular responses such as adenylate cyclase inhibition, phosphoinositide degeneration, and potassium channel mediation. Muscarinic receptors influence many effects of acetylcholine in the central and peripheral nervous system. The muscarinic cholinergic receptor 3 controls smooth muscle contraction and its stimulation causes secretion of glandular tissue. Alternative promoter use and alternative splicing results in multiple transcript variants that have different tissue specificities. [provided by RefSeq, Dec 2016]"
B3GALT1,8708,"beta-1,3-galactosyltransferase 1","This gene is a member of the beta-1,3-galactosyltransferase (beta3GalT) gene family. This family encodes type II membrane-bound glycoproteins with diverse enzymatic functions using different donor substrates (UDP-galactose and UDP-N-acetylglucosamine) and different acceptor sugars (N-acetylglucosamine, galactose, N-acetylgalactosamine). The beta3GalT genes are distantly related to the Drosophila Brainiac gene and have the protein coding sequence contained in a single exon. The beta3GalT proteins also contain conserved sequences not found in the beta4GalT or alpha3GalT proteins. The carbohydrate chains synthesized by these enzymes are designated as type 1, whereas beta4GalT enzymes synthesize type 2 carbohydrate chains. The ratio of type 1:type 2 chains changes during embryogenesis. By sequence similarity, the beta3GalT genes fall into at least two groups: beta3GalT4 and 4 other beta3GalT genes (beta3GalT1-3, beta3GalT5). This gene is expressed exclusively in the brain. The encoded protein shows strict donor substrate specificity for UDP-galactose. [provided by RefSeq, Jul 2008]"
SHROOM3,57619,shroom family member 3,"This gene encodes a PDZ-domain-containing protein that belongs to a family of Shroom-related proteins. This protein may be involved in regulating cell shape in certain tissues. A similar protein in mice is required for proper neurulation. [provided by RefSeq, Jan 2011]"
SLC26A10,65012,"solute carrier family 26 member 10, pseudogene","Predicted to enable anion transmembrane transporter activity. Predicted to be involved in anion transport. Predicted to be active in basolateral plasma membrane. Predicted to be integral component of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
SRSF12,135295,serine and arginine rich splicing factor 12,"Enables RNA binding activity. Involved in mRNA 5'-splice site recognition and regulation of alternative mRNA splicing, via spliceosome. Predicted to be located in nucleoplasm. Predicted to be active in cytoplasm and nuclear speck. [provided by Alliance of Genome Resources, Apr 2022]"
HOXA6,3203,homeobox A6,"In vertebrates, the genes encoding the class of transcription factors called homeobox genes are found in clusters named A, B, C, and D on four separate chromosomes. Expression of these proteins is spatially and temporally regulated during embryonic development. This gene is part of the A cluster on chromosome 7 and encodes a DNA-binding transcription factor which may regulate gene expression, morphogenesis, and differentiation. [provided by RefSeq, Jul 2008]"
PLCE1,51196,phospholipase C epsilon 1,"This gene encodes a phospholipase enzyme that catalyzes the hydrolysis of phosphatidylinositol-4,5-bisphosphate to generate two second messengers: inositol 1,4,5-triphosphate (IP3) and diacylglycerol (DAG). These second messengers subsequently regulate various processes affecting cell growth, differentiation, and gene expression. This enzyme is regulated by small monomeric GTPases of the Ras and Rho families and by heterotrimeric G proteins. In addition to its phospholipase C catalytic activity, this enzyme has an N-terminal domain with guanine nucleotide exchange (GEF) activity. Mutations in this gene cause early-onset nephrotic syndrome; characterized by proteinuria, edema, and diffuse mesangial sclerosis or focal and segmental glomerulosclerosis. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, Sep 2009]"
FSCN1,6624,fascin actin-bundling protein 1,"This gene encodes a member of the fascin family of actin-binding proteins. Fascin proteins organize F-actin into parallel bundles, and are required for the formation of actin-based cellular protrusions. The encoded protein plays a critical role in cell migration, motility, adhesion and cellular interactions. Expression of this gene is known to be regulated by several microRNAs, and overexpression of this gene may play a role in the metastasis of multiple types of cancer by increasing cell motility. Expression of this gene is also a marker for Reed-Sternberg cells in Hodgkin's lymphoma. A pseudogene of this gene is located on the long arm of chromosome 15. [provided by RefSeq, Sep 2011]"
PLAG1,5324,PLAG1 zinc finger,"Pleomorphic adenoma gene 1 encodes a zinc finger protein with 2 putative nuclear localization signals. PLAG1, which is developmentally regulated, has been shown to be consistently rearranged in pleomorphic adenomas of the salivary glands. PLAG1 is activated by the reciprocal chromosomal translocations involving 8q12 in a subset of salivary gland pleomorphic adenomas. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
PABPC4L,132430,poly(A) binding protein cytoplasmic 4 like,"Predicted to enable mRNA 3'-UTR binding activity; poly(A) binding activity; and poly(U) RNA binding activity. Predicted to be part of ribonucleoprotein complex. Predicted to be active in cytoplasmic stress granule; cytosol; and nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
ZNF96P1,221584,zinc finger and SCAN domain containing 12 pseudogene 1,
NANOS3,342977,nanos C2HC-type zinc finger 3,"Predicted to enable mRNA binding activity. Involved in germ cell development; negative regulation of translation; and positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay. Located in nucleus and perinuclear region of cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
CD200R1,131450,CD200 receptor 1,"This gene encodes a receptor for the OX-2 membrane glycoprotein. Both the receptor and substrate are cell surface glycoproteins containing two immunoglobulin-like domains. This receptor is restricted to the surfaces of myeloid lineage cells and the receptor-substrate interaction may function as a myeloid downregulatory signal. Mouse studies of a related gene suggest that this interaction may control myeloid function in a tissue-specific manner. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Jul 2008]"
DPY19L2P4,442523,DPY19L2 pseudogene 4,
IL15,3600,interleukin 15,"The protein encoded by this gene is a cytokine that regulates T and natural killer cell activation and proliferation. This cytokine and interleukine 2 share many biological activities. They are found to bind common hematopoietin receptor subunits, and may compete for the same receptor, and thus negatively regulate each other's activity. The number of CD8+ memory cells is shown to be controlled by a balance between this cytokine and IL2. This cytokine induces the activation of JAK kinases, as well as the phosphorylation and activation of transcription activators STAT3, STAT5, and STAT6. Studies of the mouse counterpart suggested that this cytokine may increase the expression of apoptosis inhibitor BCL2L1/BCL-x(L), possibly through the transcription activation activity of STAT6, and thus prevent apoptosis. Alternatively spliced transcript variants of this gene have been reported. [provided by RefSeq, Feb 2011]"
RAPGEF4,11069,Rap guanine nucleotide exchange factor 4,"Enables guanyl-nucleotide exchange factor activity. Predicted to be involved in regulation of neurotransmitter receptor localization to postsynaptic specialization membrane and regulation of postsynapse organization. Predicted to act upstream of or within adenylate cyclase-activating G protein-coupled receptor signaling pathway; regulation of exocytosis; and secretion by cell. Predicted to be located in plasma membrane. Predicted to be active in glutamatergic synapse; hippocampal mossy fiber to CA3 synapse; and postsynaptic density. Implicated in autistic disorder. [provided by Alliance of Genome Resources, Apr 2022]"
PP3501,126321,major facilitator superfamily domain containing 12,"Enables cysteine transmembrane transporter activity. Involved in cysteine transmembrane transport; pigment metabolic process involved in pigmentation; and regulation of melanin biosynthetic process. Located in lysosome and melanosome. Part of late endosome. [provided by Alliance of Genome Resources, Apr 2022]"
STYK1,55359,serine/threonine/tyrosine kinase 1,"Receptor protein tyrosine kinases, like STYK1, play important roles in diverse cellular and developmental processes, such as cell proliferation, differentiation, and survival (Liu et al., 2004 [PubMed 15150103]).[supplied by OMIM, Mar 2008]"
ADAM28,10863,ADAM metallopeptidase domain 28,"This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. The protein encoded by this gene is a lymphocyte-expressed ADAM protein. This gene is present in a gene cluster with other members of the ADAM family on chromosome 8. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2015]"
MDFI,4188,MyoD family inhibitor,"This protein is a transcription factor that negatively regulates other myogenic family proteins. Studies of the mouse homolog, I-mf, show that it interferes with myogenic factor function by masking nuclear localization signals and preventing DNA binding. Knockout mouse studies show defects in the formation of vertebrae and ribs that also involve cartilage formation in these structures. [provided by RefSeq, Jul 2008]"
SCML2,10389,Scm polycomb group protein like 2,"This gene encodes a member of the Polycomb group proteins. These proteins form the Polycomb repressive complexes which are involved in transcriptional repression. The encoded protein binds histone peptides that are monomethylated at lysine residues and may be involved in regulating homeotic gene expression during development. [provided by RefSeq, Jun 2010]"
ADGRF3,165082,adhesion G protein-coupled receptor F3,"Predicted to enable G protein-coupled receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway and cell surface receptor signaling pathway. Predicted to be located in plasma membrane. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
EFEMP2,30008,EGF containing fibulin extracellular matrix protein 2,"A large number of extracellular matrix proteins have been found to contain variations of the epidermal growth factor (EGF) domain and have been implicated in functions as diverse as blood coagulation, activation of complement and determination of cell fate during development. The protein encoded by this gene contains four EGF2 domains and six calcium-binding EGF2 domains. This gene is necessary for elastic fiber formation and connective tissue development. Defects in this gene are cause of an autosomal recessive cutis laxa syndrome. Alternatively spliced transcript variants have been identified for this gene. [provided by RefSeq, Jan 2011]"
FLJ13373,80073,hypothetical protein FLJ13373,
PCDHB15,56121,protocadherin beta 15,"This gene is a member of the protocadherin beta gene cluster, one of three related gene clusters tandemly linked on chromosome five. The gene clusters demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The beta cluster contains 16 genes and 3 pseudogenes, each encoding 6 extracellular cadherin domains and a cytoplasmic tail that deviates from others in the cadherin superfamily. The extracellular domains interact in a homophilic manner to specify differential cell-cell connections. Unlike the alpha and gamma clusters, the transcripts from these genes are made up of only one large exon, not sharing common 3' exons as expected. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins. Their specific functions are unknown but they most likely play a critical role in the establishment and function of specific cell-cell neural connections. [provided by RefSeq, Jul 2008]"
ERMN,57471,ermin,"Predicted to enable actin filament binding activity. Involved in actin filament organization; regulation of cell projection organization; and regulation of cell shape. Located in cell cortex; internode region of axon; and paranode region of axon. [provided by Alliance of Genome Resources, Apr 2022]"
PIK3CG,5294,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","Phosphoinositide 3-kinases (PI3Ks) phosphorylate inositol lipids and are involved in the immune response. The protein encoded by this gene is a class I catalytic subunit of PI3K. Like other class I catalytic subunits (p110-alpha p110-beta, and p110-delta), the encoded protein binds a p85 regulatory subunit to form PI3K. This gene is located in a commonly deleted segment of chromosome 7 previously identified in myeloid leukemias. Several transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jun 2015]"
PCDHB10,56126,protocadherin beta 10,"This gene is a member of the protocadherin beta gene cluster, one of three related gene clusters tandemly linked on chromosome five. The gene clusters demonstrate an unusual genomic organization similar to that of B-cell and T-cell receptor gene clusters. The beta cluster contains 16 genes and 3 pseudogenes, each encoding 6 extracellular cadherin domains and a cytoplasmic tail that deviates from others in the cadherin superfamily. The extracellular domains interact in a homophilic manner to specify differential cell-cell connections. Unlike the alpha and gamma clusters, the transcripts from these genes are made up of only one large exon, not sharing common 3' exons as expected. These neural cadherin-like cell adhesion proteins are integral plasma membrane proteins. Their specific functions are unknown but they most likely play a critical role in the establishment and function of specific cell-cell neural connections. [provided by RefSeq, Jul 2008]"
